time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-31T23:34:08.946Z,-7.5514,127.5653,137.38,4.2,mb,,55,3.724,1.15,us,us6000b7qw,2020-08-07T02:32:07.040Z,"124 km NNE of Lospalos, Timor Leste",earthquake,8.4,7.8,0.152,12,reviewed,us,us
2020-07-31T23:22:34.703Z,15.3264,-94.8267,35,4.3,mb,,183,1.311,1.15,us,us6000b9y2,2020-08-07T02:44:48.040Z,"99 km S of San Mateo del Mar, Mexico",earthquake,6.4,2,0.266,4,reviewed,us,us
2020-07-31T22:58:56.287Z,52.0617,175.2996,57.14,3.7,mb,,114,0.993,0.69,us,us6000ba2y,2020-08-13T16:32:01.997Z,"168 km ESE of Attu Station, Alaska",earthquake,8,6.6,0.113,20,reviewed,us,us
2020-07-31T21:32:53.254Z,55.0884,-158.3789,3.3,3.4,ml,,,,0.59,ak,ak0209sm602c,2020-08-13T16:30:10.979Z,"103 km SSE of Perryville, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-07-31T21:28:44.610Z,52.7496,-161.7681,10,2.7,ml,,227,2.371,0.6,us,us6000be5s,2020-08-14T04:55:29.040Z,"258 km SSE of False Pass, Alaska",earthquake,7.8,2,0.105,12,reviewed,us,us
2020-07-31T21:23:49.978Z,54.3241,-161.0327,8.43,2.9,ml,,205,0.956,0.78,us,us6000be5r,2020-08-14T04:51:06.040Z,"116 km SE of King Cove, Alaska",earthquake,2.3,9.1,0.081,20,reviewed,us,us
2020-07-31T21:19:48.383Z,54.3742,-161.0262,25.52,4.2,mwr,,199,0.915,0.76,us,us6000b7ny,2020-08-13T16:29:47.212Z,"112 km SSW of Sand Point, Alaska",earthquake,3.2,6.2,0.052,35,reviewed,us,us
2020-07-31T20:37:44.199Z,-10.8022,151.0213,10,4.2,mb,,169,4.048,1.33,us,us6000b7ng,2020-08-01T14:04:51.040Z,"44 km ESE of Samarai, Papua New Guinea",earthquake,10.2,2,0.166,11,reviewed,us,us
2020-07-31T20:36:06.820Z,-20.2468,-70.2832,31.31,3.1,ml,,176,0.331,0.78,us,us6000b7tr,2020-08-02T22:49:52.875Z,"14 km WSW of Iquique, Chile",earthquake,1.6,10,0.064,32,reviewed,us,us
2020-07-31T20:20:19.343Z,-7.4156,128.3176,155.28,4.2,mb,,60,3.007,0.7,us,us6000b7nq,2020-08-01T13:33:20.040Z,"190 km NE of Lospalos, Timor Leste",earthquake,5.2,8.8,0.128,20,reviewed,us,us
2020-07-31T19:55:59.575Z,51.3493,-168.5731,23.5,2.7,ml,,,,0.44,ak,ak0209sl42np,2020-08-13T16:28:43.619Z,"177 km S of Nikolski, Alaska",earthquake,,3,,,reviewed,ak,ak
2020-07-31T19:51:39.699Z,51.3657,-168.5963,10,4.3,mb,,138,1.665,0.87,us,us6000b7lu,2020-08-13T16:28:37.377Z,"175 km S of Nikolski, Alaska",earthquake,7,1.9,0.041,176,reviewed,us,us
2020-07-31T19:47:58.301Z,51.3757,-168.6208,10,3.9,mb,,184,1.649,0.97,us,us6000b7ls,2020-08-13T16:28:31.579Z,"174 km S of Nikolski, Alaska",earthquake,5.5,2,0.056,88,reviewed,us,us
2020-07-31T19:44:19.193Z,51.3041,-168.6378,7.4,2.6,ml,,,,0.51,ak,ak0209sl1mnz,2020-08-13T16:28:25.892Z,"182 km S of Nikolski, Alaska",earthquake,,7.6,,,reviewed,ak,ak
2020-07-31T19:10:03.648Z,51.2874,-168.6128,10,3.9,mb,,183,1.73,0.98,us,us6000b7kr,2020-08-13T16:28:02.833Z,"184 km S of Nikolski, Alaska",earthquake,7.6,2,0.062,72,reviewed,us,us
2020-07-31T18:58:51.902Z,30.3312,94.7936,36.21,4.3,mb,,85,3.241,0.61,us,us6000b7kk,2020-07-31T20:39:03.040Z,"239 km N of Along, India",earthquake,9.7,8.8,0.09,40,reviewed,us,us
2020-07-31T18:56:59.560Z,17.9473,-66.9193,14,2.52,md,14,199,0.0488,0.24,pr,pr2020213006,2020-08-09T21:08:25.680Z,"2 km SSW of Guánica, Puerto Rico",earthquake,0.57,0.73,0.06,4,reviewed,pr,pr
2020-07-31T18:43:52.668Z,51.3237,-168.6001,10,4,mb,,186,1.701,1.05,us,us6000b7k3,2020-08-13T16:27:33.979Z,"180 km S of Nikolski, Alaska",earthquake,7.4,2,0.052,100,reviewed,us,us
2020-07-31T18:19:21.967Z,51.2457,-168.6162,5.4,2.6,ml,,,,0.34,ak,ak0209skaudg,2020-08-13T16:27:51.259Z,"189 km S of Nikolski, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2020-07-31T18:03:55.571Z,62.0288,-149.2139,35.7,2.7,ml,,,,0.41,ak,ak0209sk7hed,2020-08-13T16:26:12.683Z,"31 km N of Fishhook, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-07-31T17:55:55.876Z,41.2167,140.1164,150.77,4.5,mb,,51,0.835,0.97,us,us6000b7j9,2020-07-31T18:56:49.040Z,"49 km NNW of Shimokizukuri, Japan",earthquake,5.4,5.9,0.041,188,reviewed,us,us
2020-07-31T17:30:06.441Z,54.5795,-160.9934,6.6,2.9,ml,,,,0.89,ak,ak0209sjrqfv,2020-08-13T16:25:55.260Z,"90 km SSW of Sand Point, Alaska",earthquake,,1,,,reviewed,ak,ak
2020-07-31T17:06:36.550Z,54.6668,-161.1233,12.9,2.7,ml,,,,0.51,ak,ak0209sjmnnp,2020-08-13T16:25:49.254Z,"84 km SSW of Sand Point, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-07-31T17:06:00.690Z,-7.5024,156.8062,404.48,5.2,mww,,25,3.654,0.76,us,us6000b7ib,2020-08-01T14:57:16.040Z,"66 km N of Gizo, Solomon Islands",earthquake,7.7,4.8,0.093,11,reviewed,us,us
2020-07-31T17:04:25.642Z,26.4717,130.0924,10.53,4.7,mww,,53,1.206,1.21,us,us6000b7ia,2020-08-01T15:05:58.040Z,"210 km E of Nago, Japan",earthquake,4.9,3.9,0.098,10,reviewed,us,us
2020-07-31T16:47:37.960Z,17.9461,-66.913,13,2.71,md,22,193,0.0445,0.19,pr,pr2020213005,2020-08-09T21:09:55.336Z,"2 km S of Guánica, Puerto Rico",earthquake,0.58,0.26,0.21,11,reviewed,pr,pr
2020-07-31T16:45:10.396Z,30.4508,94.7761,10,5,mb,,158,5.507,0.75,us,us6000b7i6,2020-07-31T17:03:13.040Z,"242 km WSW of Qamdo, China",earthquake,12.3,1.9,0.073,60,reviewed,us,us
2020-07-31T16:17:15.348Z,-8.794,152.9219,10,4.7,mb,,147,4.634,0.88,us,us6000b7hq,2020-07-31T16:30:12.040Z,"D'Entrecasteaux Islands region",earthquake,10.9,2,0.137,16,reviewed,us,us
