time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-31T22:55:36.400Z,19.3071,-67.8165,77,2.97,md,3,259,1.4804,0.16,pr,pr2019031030,2019-04-18T19:09:15.040Z,"71km NE of Punta Cana, Dominican Republic",earthquake,8.21,13.73,0.1,3,reviewed,pr,pr
2019-01-31T22:50:38.880Z,-6.5897,147.4778,35,4.5,mb,,159,8.456,0.41,us,us2000jhft,2019-04-18T19:09:42.040Z,"43km W of Finschhafen, Papua New Guinea",earthquake,8.2,2,0.163,11,reviewed,us,us
2019-01-31T22:41:05.470Z,18.534,-66.507,11,2.65,md,11,215,0.0612,0.12,pr,pr2019031029,2019-02-01T01:35:54.832Z,"8km NNW of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.71,0.3,0.27,7,reviewed,pr,pr
2019-01-31T22:40:00.590Z,-4.6385,-105.0977,10,4.9,mb,,143,22.727,0.66,us,us2000jbja,2019-04-18T19:09:27.040Z,"Central East Pacific Rise",earthquake,12.8,1.8,0.028,410,reviewed,us,us
2019-01-31T22:17:01.190Z,31.6249,-104.5501,5,2.6,mb_lg,,71,0.537,0.41,us,us2000jbl5,2019-04-18T19:09:27.040Z,"70km NNE of Van Horn, Texas",earthquake,1.1,1.9,0.109,31,reviewed,us,us
2019-01-31T22:03:20.430Z,18.7545,-67.1348,6,2.6,md,4,302,0.558,0.33,pr,pr2019031028,2019-02-01T01:33:29.888Z,"29km N of San Antonio, Puerto Rico",earthquake,2.76,3.05,0.08,2,reviewed,pr,pr
2019-01-31T21:38:44.190Z,51.2413,-176.1685,10,2.5,ml,,247,0.718,0.42,us,us2000jbi7,2019-04-18T19:09:27.040Z,"78km SSE of Adak, Alaska",earthquake,2.1,2,,,reviewed,us,ak
2019-01-31T21:38:13.690Z,19.6661,-68.1196,69,3.22,md,4,261,1.8137,0.46,pr,pr2019031026,2019-04-18T19:09:13.040Z,"63km NNE of Punta Cana, Dominican Republic",earthquake,8.73,21.26,0.12,4,reviewed,pr,pr
2019-01-31T21:34:57.220Z,19.4168,-68.9435,96,2.78,md,3,262,1.0635,0.04,pr,pr2019031025,2019-04-18T19:09:17.040Z,"46km NE of Santa Barbara de Samana, Dominican Republic",earthquake,4.82,4.64,0.62,3,reviewed,pr,pr
2019-01-31T21:22:25.565Z,67.967,-159.0864,15,2.8,ml,,,,0.49,ak,ak0191fmand0,2019-04-18T19:09:27.040Z,"148km NW of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-01-31T20:58:37.340Z,43.6432,-105.4441,0,3,ml,,130,1.124,1.21,us,us2000jhfz,2019-04-18T19:09:42.040Z,"Wyoming",mining explosion,3.7,1.2,0.049,54,reviewed,us,us
2019-01-31T20:50:34.370Z,2.9232,128.6544,226.14,4.6,mb,,115,2.494,0.67,us,us2000jbf9,2019-04-18T19:09:27.040Z,"150km NNE of Tobelo, Indonesia",earthquake,7.9,5.5,0.075,53,reviewed,us,us
2019-01-31T19:58:02.010Z,19.3295,-155.1956667,1.14,2.65,ml,53,86,0.04787,0.13,hv,hv70792086,2019-04-18T19:09:27.040Z,"12km SSE of Volcano, Hawaii",earthquake,0.19,0.34,0.17,40,reviewed,hv,hv
2019-01-31T19:49:49.660Z,-20.4865,-69.0165,102.12,4.2,mb,,92,0.366,0.64,us,us2000jbe8,2019-04-18T19:09:27.040Z,"121km ESE of Iquique, Chile",earthquake,6.6,6.3,0.121,19,reviewed,us,us
2019-01-31T19:39:09.730Z,-8.3665,118.1547,164.21,4.4,mb,,120,3.688,0.6,us,us2000jhfl,2019-04-18T19:09:42.040Z,"17km W of Pali, Indonesia",earthquake,10.1,17.1,0.178,9,reviewed,us,us
2019-01-31T19:14:40.380Z,21.4041,143.7973,10,5,mb,,132,15.233,0.96,us,us2000jbed,2019-04-18T19:09:27.040Z,"149km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.3,1.9,0.042,180,reviewed,us,us
2019-01-31T18:58:26.490Z,-5.1822,-105.7251,10,4.7,mb,,91,22.093,1.17,us,us2000jbd2,2019-04-18T19:09:27.040Z,"Central East Pacific Rise",earthquake,15.9,1.9,0.046,145,reviewed,us,us
2019-01-31T18:47:25.830Z,18.6408,-64.18,50,3.39,md,6,346,1.7417,0.1,pr,pr2019031024,2019-04-18T19:09:12.040Z,"50km E of Road Town, British Virgin Islands",earthquake,3.17,8.28,0.17,5,reviewed,pr,pr
2019-01-31T18:24:38.910Z,-3.6801,147.1417,10,4.3,mb,,178,1.641,1.28,us,us2000jhfn,2019-04-18T19:09:42.040Z,"183km S of Lorengau, Papua New Guinea",earthquake,11.1,2,0.178,9,reviewed,us,us
2019-01-31T18:17:13.400Z,21.4475,143.8304,10,5.1,mb,,151,15.081,1.14,us,us2000jbcc,2020-01-31T18:27:26.931Z,"149km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,13.5,1.9,0.037,230,reviewed,us,us
2019-01-31T17:45:08.500Z,-17.762,-178.7414,501.9,4.3,mb,,73,3.486,1.26,us,us2000jbbq,2019-04-18T19:09:27.040Z,"249km SE of Lambasa, Fiji",earthquake,12.7,4.1,0.052,105,reviewed,us,us
2019-01-31T17:20:52.940Z,15.5211,-94.8359,25.55,4.3,mb,,152,1.25,0.92,us,us2000jbbe,2019-04-18T19:09:11.040Z,"77km SSE of San Mateo del Mar, Mexico",earthquake,5.3,7.2,0.065,67,reviewed,us,us
2019-01-31T16:34:14.690Z,-18.3244,-178.0712,589.6,4.5,mb,,262,3.732,0.45,us,us2000jhfj,2019-04-18T19:09:42.040Z,"265km NNE of Ndoi Island, Fiji",earthquake,24.7,9.4,0.172,10,reviewed,us,us
2019-01-31T16:32:52.300Z,-33.7054,78.3505,10,5,mb,,74,4.131,0.69,us,us2000jbay,2019-04-18T19:09:26.040Z,"Mid-Indian Ridge",earthquake,9.5,1.8,0.085,44,reviewed,us,us
