time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-30T23:51:24.320Z,18.0845,-68.3713,99,3.21,md,10,234,0.9412,0.57,pr,pr2019181035,2019-09-14T16:08:26.040Z,"37km SSE of Boca de Yuma, Dominican Republic",earthquake,5.18,4.55,0.29,10,reviewed,pr,pr
2019-06-30T23:43:36.868Z,37.7874,-114.3137,3.1,4.2,ml,74,88.57,0.213,0.162,nn,nn00688850,2019-09-14T16:08:24.040Z,"19km SE of Pioche, Nevada",earthquake,,0.8,0.41,24,reviewed,nn,nn
2019-06-30T23:38:51.673Z,-6.2382,149.1618,72.42,4.4,mb,,79,3.615,0.55,us,us70004guh,2019-09-14T16:08:37.040Z,"43km W of Kandrian, Papua New Guinea",earthquake,9.5,12.7,0.155,12,reviewed,us,us
2019-06-30T23:34:53.538Z,14.3571,-92.9485,10,4.8,mwr,,117,0.858,0.9,us,us700047t5,2019-09-14T16:08:24.040Z,"69km SW of Puerto Madero, Mexico",earthquake,4.7,1.8,0.089,12,reviewed,us,us
2019-06-30T23:34:11.310Z,19.2643,-65.3176,72,2.72,md,6,328,1.2415,0.21,pr,pr2019181034,2019-09-14T16:08:26.040Z,"110km NNE of Vieques, Puerto Rico",earthquake,4.16,8.34,0.45,4,reviewed,pr,pr
2019-06-30T23:18:10.452Z,-17.3518,-69.3804,161.11,4.3,mb,,83,0.254,1.18,us,us700047t1,2019-09-14T16:08:24.040Z,"70km E of Tarata, Peru",earthquake,4.7,5.4,0.07,59,reviewed,us,us
2019-06-30T23:11:58.790Z,69.5091,-144.3009,11.4,3.5,ml,,,,0.77,ak,ak0198bq19sf,2019-09-14T16:08:24.040Z,"74km SSW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-06-30T22:36:45.762Z,11.6295,125.9393,35,4.6,mb,,83,4.544,0.58,us,us70004gul,2019-09-14T16:08:38.040Z,"48km NE of Hernani, Philippines",earthquake,8.4,2,0.133,17,reviewed,us,us
2019-06-30T22:26:40.955Z,-31.3015,-68.8829,112.16,4.2,mwr,,40,0.296,0.77,us,us700047sp,2019-09-14T16:08:24.040Z,"31km NNW of Zonda, Argentina",earthquake,3.2,4.4,0.083,14,reviewed,us,us
2019-06-30T22:01:20.561Z,-20.4554,-178.1275,583.88,4.3,mb,,132,4.506,0.62,us,us70004guf,2019-09-14T16:08:37.040Z,"63km ENE of Ndoi Island, Fiji",earthquake,13.3,6.1,0.084,40,reviewed,us,us
2019-06-30T21:42:42.431Z,-60.1141,-45.4763,10,4.5,mb,,96,6.381,0.96,us,us70004gug,2019-09-14T16:08:37.040Z,"Scotia Sea",earthquake,7,2,0.18,9,reviewed,us,us
2019-06-30T21:03:45.789Z,32.9038,-100.8908,3.63,2.6,ml,,36,0.025,0.46,us,us700047s6,2019-09-14T16:08:24.040Z,"20km N of Snyder, Texas",earthquake,1.4,2,0.115,10,reviewed,us,us
2019-06-30T19:41:44.738Z,54.98,-163.1077,117.63,2.8,ml,,141,0.217,0.41,us,us70004qzi,2019-09-14T16:08:42.040Z,"24km NE of False Pass, Alaska",earthquake,6.8,5.4,0.097,14,reviewed,us,us
2019-06-30T17:48:52.726Z,-23.6857,-179.8763,527.96,4.2,mb,,153,5.805,0.72,us,us70004guc,2019-09-14T16:08:37.040Z,"South of the Fiji Islands",earthquake,13.8,11,0.105,25,reviewed,us,us
2019-06-30T17:45:52.262Z,66.3149,-157.2262,7.9,3,ml,,,,0.62,ak,ak0198bmnxwi,2019-09-14T16:08:23.040Z,"67km SSW of Kobuk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-06-30T16:39:59.947Z,-15.5808,167.5797,62.06,4.6,mb,,81,10.265,0.66,us,us70004gub,2019-09-14T16:08:37.040Z,"44km E of Luganville, Vanuatu",earthquake,13.2,9.2,0.157,14,reviewed,us,us
