time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-31T23:59:50.400Z,8.3118,94.6243,10,4.8,mb,,77,3.834,0.87,us,us2000k889,2019-06-08T20:51:28.040Z,"149km ENE of Mohean, India",earthquake,8.6,1.9,0.071,62,reviewed,us,us
2019-03-31T23:56:43.440Z,7.5796,94.3296,10,5,mb,,80,3.495,0.77,us,us2000kcfj,2019-06-08T20:51:40.040Z,"119km ESE of Mohean, India",earthquake,5.5,1.8,0.07,64,reviewed,us,us
2019-03-31T23:48:56.640Z,7.5776,94.1803,10,4.9,mb,,97,3.606,0.48,us,us2000kcfi,2019-06-08T20:51:40.040Z,"104km ESE of Mohean, India",earthquake,6.6,1.9,0.132,18,reviewed,us,us
2019-03-31T23:46:41.494Z,7.8278,94.2402,10,5.2,mww,,26,3.728,0.89,us,us2000k87x,2019-06-08T20:51:28.040Z,"102km E of Mohean, India",earthquake,7.5,1.7,0.073,18,reviewed,us,us
2019-03-31T23:44:43.830Z,7.7758,94.3057,10,4.9,mww,,43,3.645,0.85,us,us2000k87s,2019-06-08T20:51:28.040Z,"111km E of Mohean, India",earthquake,5.4,1.8,0.103,9,reviewed,us,us
2019-03-31T23:42:29.980Z,7.609,94.2219,10,4.8,mb,,122,3.595,1.38,us,us2000k877,2019-06-08T20:51:28.040Z,"107km ESE of Mohean, India",earthquake,4.3,1.9,0.055,101,reviewed,us,us
2019-03-31T23:42:01.540Z,7.5642,94.3894,10,5,mb,,94,3.441,0.62,us,us2000kcff,2019-06-08T20:51:40.040Z,"126km ESE of Mohean, India",earthquake,10.5,1.9,0.099,32,reviewed,us,us
2019-03-31T23:38:45.120Z,7.8123,94.4571,10,4.4,mb,,97,3.564,0.46,us,us2000kcfe,2019-06-08T20:51:40.040Z,"126km E of Mohean, India",earthquake,6.8,1.6,0.087,38,reviewed,us,us
2019-03-31T23:32:15.620Z,7.5814,94.4348,10,4.5,mb,,122,3.42,0.72,us,us2000k86h,2019-06-08T20:51:28.040Z,"130km ESE of Mohean, India",earthquake,9.6,1.9,0.104,27,reviewed,us,us
2019-03-31T23:29:10.440Z,39.042,-123.0856667,-0.65,2.51,md,49,84,0.04954,0.09,nc,nc73159100,2019-04-02T02:29:02.489Z,"12km SE of Talmage, CA",earthquake,0.25,0.87,0.291,40,reviewed,nc,nc
2019-03-31T23:22:45.040Z,37.4656,20.4673,10,4.3,mb,,150,1.197,1.38,us,us2000k864,2019-06-08T20:51:28.040Z,"42km SW of Mouzaki, Greece",earthquake,2.2,2,0.239,5,reviewed,us,us
2019-03-31T22:49:31.765Z,53.3923,-160.0717,10,2.9,ml,,236,1.469,0.46,us,us70003cth,2019-06-08T20:51:10.040Z,"158km SSW of Chernabura Island, Alaska",earthquake,7,2,0.128,8,reviewed,us,us
2019-03-31T22:03:33.730Z,30.8759,142.2957,10,4.4,mb,,139,3.091,0.89,us,us2000kcfb,2019-06-08T20:51:40.040Z,"Izu Islands, Japan region",earthquake,6.5,1.9,0.138,15,reviewed,us,us
2019-03-31T21:26:26.252Z,65.6,-166.7554,8.7,2.5,ml,,,,0.61,ak,ak0194570zfl,2019-06-08T20:51:44.040Z,"79km SSW of Shishmaref, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-03-31T19:35:04.517Z,-19.6289,-177.7679,577.99,4.7,mb,,93,4.382,1.09,us,us2000k833,2019-06-08T20:51:28.040Z,"149km NE of Ndoi Island, Fiji",earthquake,11.7,9,0.096,33,reviewed,us,us
2019-03-31T19:22:01.321Z,60.1279,-152.0821,64.2,2.5,ml,,,,0.56,ak,ak019455t6qo,2019-06-08T20:51:28.040Z,"41km NNW of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-03-31T18:56:47.881Z,66.2346,-157.195,7.8,2.7,ml,,,,0.5,ak,ak019455f52y,2019-06-08T20:51:28.040Z,"76km S of Kobuk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-03-31T18:31:19.169Z,2.0919,97.8634,61.07,4.5,mb,,87,0.834,1.17,us,us2000k82i,2019-06-08T20:51:28.040Z,"85km W of Onan Ganjang, Indonesia",earthquake,6.2,7.8,0.099,30,reviewed,us,us
2019-03-31T17:49:18.710Z,18.3618,-67.4481,11,2.58,md,6,170,0.0384,0.09,pr,pr2019090009,2019-04-01T18:43:14.940Z,"21km W of Rincon, Puerto Rico",earthquake,1.62,0.53,0.1,3,reviewed,pr,pr
2019-03-31T17:49:02.290Z,19.2503333,-155.3955,30.77,3.37,ml,73,108,0.0129,0.13,hv,hv70885351,2019-06-08T20:51:28.040Z,"10km ENE of Pahala, Hawaii",earthquake,0.34,0.45,0.179,50,reviewed,hv,hv
