time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-30T23:57:51.850Z,50.3728,91.1611,10,4.4,mb,,45,5.296,0.68,us,us70003eyl,2019-07-25T18:54:03.040Z,"31km W of Harmod, Mongolia",earthquake,7.2,1.9,0.078,47,reviewed,us,us
2019-04-30T23:55:09.615Z,-9.6654,148.5709,10,4.9,mb,,146,1.415,0.65,us,us70003eyk,2019-07-25T18:54:03.040Z,"106km SSE of Popondetta, Papua New Guinea",earthquake,6.9,1.9,0.108,27,reviewed,us,us
2019-04-30T23:46:25.344Z,50.4868,91.0161,10,4.4,mb,,52,5.15,0.74,us,us70003eyd,2019-07-25T18:54:03.040Z,"39km ENE of Mugur-Aksy, Russia",earthquake,8.5,1.9,0.069,61,reviewed,us,us
2019-04-30T23:44:09.721Z,-2.6427,153.2714,10,4.9,mb,,62,1.894,0.82,us,us70003eye,2019-07-25T18:54:03.040Z,"146km NE of Namatanai, Papua New Guinea",earthquake,7.3,1.8,0.067,70,reviewed,us,us
2019-04-30T22:42:34.261Z,-20.7486,-177.8171,509.96,4.1,mb,,175,4.914,0.47,us,us70003iwp,2019-07-25T18:54:03.040Z,"92km E of Ndoi Island, Fiji",earthquake,13.1,10,0.14,14,reviewed,us,us
2019-04-30T21:58:27.025Z,59.9019,-153.1964,125.5,2.5,ml,,,,0.56,ak,ak0195itc8ht,2019-07-25T18:54:03.040Z,"69km SSW of Redoubt Volcano, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-30T21:01:00.722Z,-9.5848,148.6231,10,4.9,mb,,138,1.454,0.71,us,us70003evw,2019-07-25T18:54:03.040Z,"100km SSE of Popondetta, Papua New Guinea",earthquake,8.2,1.9,0.071,62,reviewed,us,us
2019-04-30T20:53:56.863Z,29.3804,140.9118,50.53,4.5,mb,,101,2.538,0.84,us,us70003iwk,2019-07-25T18:54:03.040Z,"284km NNW of Chichi-shima, Japan",earthquake,8.1,7,0.087,39,reviewed,us,us
2019-04-30T20:52:22.590Z,15.3014,-46.4221,10,5.4,mww,,47,11.832,0.8,us,us70003evi,2019-07-25T18:54:03.040Z,"Northern Mid-Atlantic Ridge",earthquake,9,1.8,0.068,21,reviewed,us,us
2019-04-30T20:32:28.830Z,32.1195,-115.0708333,18.83,3.32,ml,22,152,0.1829,0.35,ci,ci37418485,2019-07-25T18:54:03.040Z,"10km SW of Estacion Coahuila, B.C., MX",earthquake,0.88,1.12,0.149,40,reviewed,ci,ci
2019-04-30T20:31:24.160Z,32.113,-115.0548333,19.26,3.29,ml,18,153,0.1902,0.28,ci,ci38339119,2019-07-25T18:54:03.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.8,0.94,0.124,44,reviewed,ci,ci
2019-04-30T19:46:01.532Z,-18.4758,-177.7905,532.42,4.8,mb,,77,4.019,0.98,us,us70003et8,2019-07-25T18:54:03.040Z,"258km NNE of Ndoi Island, Fiji",earthquake,11,7,0.074,56,reviewed,us,us
2019-04-30T19:08:18.430Z,55.8875,-156.4188,48.4,2.8,ml,,,,0.64,ak,ak0195irumtu,2019-07-25T18:54:03.040Z,"50km W of Chirikof Island, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2019-04-30T18:58:41.690Z,32.116,-115.0598333,16.22,2.71,ml,18,153,0.1869,0.18,ci,ci38338983,2019-04-30T19:52:27.330Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.66,1.3,0.153,51,reviewed,ci,ci
2019-04-30T18:49:10.542Z,7.4611,94.5571,62.11,4.4,mb,,141,3.249,0.47,us,us70003es9,2019-07-25T18:54:03.040Z,"147km ESE of Mohean, India",earthquake,9.8,9.4,0.127,18,reviewed,us,us
2019-04-30T18:48:30.406Z,-60.428,-26.4296,10,4.6,mb,,106,8.209,0.67,us,us70003iwj,2019-07-25T18:54:02.040Z,"155km S of Bristol Island, South Sandwich Islands",earthquake,10.1,1.8,0.116,25,reviewed,us,us
2019-04-30T18:17:52.092Z,-10.3418,38.917,10,4.3,mb,,87,7.978,1,us,us70003iwi,2019-07-25T18:54:02.040Z,"17km ENE of Nachingwea, Tanzania",earthquake,5.7,1.9,0.119,21,reviewed,us,us
2019-04-30T17:51:01.497Z,53.14,160.108,41.64,4.2,mb,,165,0.887,1.32,us,us70003iwm,2019-07-25T18:54:02.040Z,"98km E of Petropavlovsk-Kamchatskiy, Russia",earthquake,10.5,13.6,0.128,17,reviewed,us,us
2019-04-30T17:10:49.960Z,35.7973333,-121.3973333,7.46,3.44,ml,81,191,0.1351,0.08,nc,nc73174665,2019-07-25T18:54:02.040Z,"25km NW of San Simeon, CA",earthquake,0.24,0.44,0.135,60,reviewed,nc,nc
2019-04-30T16:47:20.914Z,-7.6357,158.1149,10,4.3,mb,,113,2.548,0.81,us,us70003iwh,2019-07-25T18:54:02.040Z,"111km WNW of Dadali, Solomon Islands",earthquake,11.1,1.9,0.202,9,reviewed,us,us
2019-04-30T16:46:06.850Z,32.1121667,-115.0556667,19.63,3.29,ml,22,153,0.191,0.3,ci,ci38338823,2019-07-25T18:54:02.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.84,0.98,0.162,53,reviewed,ci,ci
2019-04-30T16:04:27.236Z,-19.9728,-177.4408,533.53,4.4,mb,,130,4.808,1.29,us,us70003emu,2019-07-25T18:54:02.040Z,"151km ENE of Ndoi Island, Fiji",earthquake,14.9,8.1,0.084,41,reviewed,us,us
2019-04-30T15:53:09.997Z,9.7773,126.3784,35,4.2,mb,,86,10.727,0.68,us,us70003iwg,2019-07-25T18:54:02.040Z,"24km E of General Luna, Philippines",earthquake,11.9,2,0.113,22,reviewed,us,us
2019-04-30T15:43:46.066Z,36.5396,140.7863,55.98,4.5,mb,,203,1.326,0.8,us,us70003emf,2019-07-25T18:54:02.040Z,"13km ESE of Hitachi, Japan",earthquake,8.8,9.9,0.092,35,reviewed,us,us
2019-04-30T15:40:41.299Z,9.8313,126.6152,35,4.5,mb,,137,9.28,0.44,us,us70003emd,2019-07-25T18:54:02.040Z,"50km E of General Luna, Philippines",earthquake,11,2,0.097,31,reviewed,us,us
2019-04-30T15:13:20.970Z,32.1176667,-115.0593333,19.46,2.98,ml,23,153,0.1852,0.24,ci,ci38338687,2019-07-25T18:54:02.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake,0.53,0.65,0.15,43,reviewed,ci,ci
2019-04-30T14:31:07.753Z,53.0712,-166.6313,35,3.1,ml,,241,0.743,0.23,us,us70003gjp,2019-07-25T18:54:02.040Z,"89km S of Unalaska, Alaska",earthquake,5.6,2,0.148,6,reviewed,us,us
2019-04-30T14:13:02.473Z,14.7309,-91.0066,232.52,4.3,mb,,110,0.697,0.38,us,us70003iwd,2019-07-25T18:54:02.040Z,"4km SSW of Tecpan Guatemala, Guatemala",earthquake,9.2,7.1,0.069,59,reviewed,us,us
2019-04-30T13:11:27.942Z,6.7377,-72.9229,160.23,4.3,mb,,64,0.854,0.58,us,us70003ekn,2019-07-25T18:54:02.040Z,"11km SW of San Andres, Colombia",earthquake,9.2,6.6,0.051,107,reviewed,us,us
2019-04-30T12:48:00.374Z,1.8133,99.1125,117.6,4.4,mb,,119,0.894,0.5,us,us70003ekh,2019-07-25T18:54:02.040Z,"37km ENE of Sibolga, Indonesia",earthquake,5.4,5,0.127,18,reviewed,us,us
2019-04-30T12:38:42.673Z,-15.3549,-173.048,10,4.5,mb,,86,1.891,0.73,us,us70003iwb,2019-07-25T18:54:02.040Z,"100km NE of Hihifo, Tonga",earthquake,8.2,1.9,0.089,37,reviewed,us,us
2019-04-30T10:36:35.077Z,-7.3576,156.0662,45.45,4.4,mb,,95,4.361,0.44,us,us70003iw9,2019-07-25T18:54:02.040Z,"95km SW of Chirovanga, Solomon Islands",earthquake,10.4,7.5,0.13,17,reviewed,us,us
2019-04-30T10:22:52.331Z,-7.4463,156.3062,89.2,4.4,mb,,148,4.11,0.47,us,us70003iwa,2019-07-25T18:54:02.040Z,"92km SSW of Chirovanga, Solomon Islands",earthquake,7.1,11.4,0.169,10,reviewed,us,us
