time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-30T17:12:56.898Z,22.718,120.6436,10,4.2,mb,,82,0.414,1.31,us,us70005sle,2019-12-20T19:04:39.040Z,"16km ENE of Pingtung, Taiwan",earthquake,6.6,1.9,0.118,20,reviewed,us,us
2019-09-30T17:06:44.850Z,19.1845,-67.2545,10,2.73,md,10,235,0.7312,0.43,pr,pr2019273030,2019-09-30T18:44:16.232Z,"78km NNW of San Antonio, Puerto Rico",earthquake,2.08,31.61,0.21,9,reviewed,pr,pr
2019-09-30T16:57:37.750Z,36.553,-89.651,7.81,2.67,md,62,24,0.02715,0.14,nm,nm60288451,2019-12-20T19:04:06.040Z,"5km SSW of Lilbourn, Missouri",earthquake,0.15,0.34,0.157,52,reviewed,nm,nm
2019-09-30T16:54:36.732Z,-4.1946,150.8602,10,4.2,mb,,115,1.3,0.46,us,us70005sld,2019-12-20T19:04:39.040Z,"145km W of Rabaul, Papua New Guinea",earthquake,7.3,1.9,0.187,8,reviewed,us,us
2019-09-30T16:29:05.310Z,36.5518333,-89.6493333,7.37,2.67,md,57,26,0.02694,0.12,nm,nm60288441,2019-12-20T19:04:05.040Z,"5km SW of Lilbourn, Missouri",earthquake,0.14,0.36,0.123,40,reviewed,nm,nm
2019-09-30T16:18:14.310Z,36.554,-89.6501667,7.62,2.59,md,57,24,0.02835,0.13,nm,nm60288436,2019-12-20T19:04:05.040Z,"4km SW of Lilbourn, Missouri",earthquake,0.13,0.35,0.211,39,reviewed,nm,nm
2019-09-30T15:37:31.558Z,-5.1129,151.5435,10,4.5,mb,,106,1.104,1,us,us70005nxi,2019-12-20T19:04:04.040Z,"115km SW of Kokopo, Papua New Guinea",earthquake,8.5,1.9,0.132,17,reviewed,us,us
2019-09-30T15:35:32.350Z,19.1221,-67.2921,31,2.69,md,14,225,0.6791,0.65,pr,pr2019273028,2019-09-30T17:32:13.820Z,"72km NNW of San Antonio, Puerto Rico",earthquake,2.9,18.9,0.38,13,reviewed,pr,pr
2019-09-30T15:17:37.661Z,-35.4781,-73.1241,10,4.3,mb,,185,1.268,0.36,us,us70005nwv,2019-12-20T19:04:04.040Z,"66km WSW of Constitucion, Chile",earthquake,9.5,2,0.306,3,reviewed,us,us
2019-09-30T14:44:27.195Z,61.016,-149.6938,31.4,2.6,ml,,,,0.55,ak,ak019cjqbatd,2019-12-20T19:04:04.040Z,"25km SSE of Anchorage, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-09-30T14:17:23.448Z,56.0069,-149.2346,10,3.3,ml,,208,2.55,0.4,us,us70005xim,2019-12-20T19:04:45.040Z,"277km SE of Kodiak, Alaska",earthquake,8.9,2,0.051,50,reviewed,us,us
2019-09-30T14:06:53.242Z,-10.2021,116.0185,35.46,4.3,mb,,96,2.52,0.79,us,us70005slb,2019-12-20T19:04:39.040Z,"147km S of Kute, Indonesia",earthquake,4.7,7.8,0.154,12,reviewed,us,us
2019-09-30T13:59:47.691Z,-5.123,150.7657,68.72,4.1,mb,,151,4.568,0.41,us,us70005slc,2019-12-20T19:04:39.040Z,"83km NE of Kimbe, Papua New Guinea",earthquake,13.7,10.8,0.145,13,reviewed,us,us
2019-09-30T13:51:49.377Z,-30.4932,-177.2561,10,4.4,mb,,234,1.374,0.54,us,us70005sln,2019-12-20T19:04:40.040Z,"149km SSE of Raoul Island, New Zealand",earthquake,7.5,2,0.22,6,reviewed,us,us
2019-09-30T13:47:03.662Z,-3.6511,142.2946,43.33,4.1,mb,,74,1.948,0.31,us,us70005sla,2019-12-20T19:04:38.040Z,"57km S of Aitape, Papua New Guinea",earthquake,8.7,13.3,0.185,8,reviewed,us,us
2019-09-30T13:39:33.933Z,-17.6156,179.9142,603.51,4.7,mb,,59,1.779,0.8,us,us70005nvb,2019-12-20T19:04:03.040Z,"144km SSE of Lambasa, Fiji",earthquake,10.3,7.3,0.032,293,reviewed,us,us
2019-09-30T13:38:36.620Z,19.1881667,-155.4703333,32.72,2.51,ml,60,93,0.01176,0.1,hv,hv71157696,2019-12-20T19:04:03.040Z,"2km SSE of Pahala, Hawaii",earthquake,0.39,0.52,0.121,36,reviewed,hv,hv
2019-09-30T13:38:24.854Z,-5.0635,151.6294,17.89,4.4,mb,,123,1.017,0.51,us,us70005sl9,2019-12-20T19:04:38.040Z,"105km SW of Kokopo, Papua New Guinea",earthquake,7.8,6.9,0.18,9,reviewed,us,us
2019-09-30T13:30:09.993Z,-17.623,179.865,608.31,4.7,mb,,75,1.731,0.77,us,us70005nv5,2019-12-20T19:04:03.040Z,"143km SSE of Lambasa, Fiji",earthquake,11.1,8.3,0.03,328,reviewed,us,us
2019-09-30T13:13:09.040Z,52.383,-164.5612,10,2.9,ml,,289,1.859,0.13,us,us70005xik,2019-12-20T19:04:45.040Z,"211km SSE of Akutan, Alaska",earthquake,4.1,2,0.105,12,reviewed,us,us
2019-09-30T12:47:42.750Z,19.2103,-67.2933,51,3.1,md,7,315,0.7648,0.47,pr,pr2019273025,2019-12-20T19:04:04.040Z,"79km N of San Antonio, Puerto Rico",earthquake,3.68,9.6,0.1,5,reviewed,pr,pr
2019-09-30T12:38:51.470Z,19.2453,-67.3208,24,3.07,md,13,304,0.8056,0.4,pr,pr2019273023,2019-12-20T19:04:02.040Z,"93km NNW of San Antonio, Puerto Rico",earthquake,1.72,25.82,0.33,10,reviewed,pr,pr
2019-09-30T12:24:25.771Z,40.1226,76.1243,47.46,4.5,mb,,54,2.048,0.79,us,us70005nuq,2019-12-20T19:04:02.040Z,"49km N of Arzak, China",earthquake,6.5,6.6,0.127,18,reviewed,us,us
2019-09-30T11:53:22.983Z,-22.1911,-68.799,117,5.6,mww,,36,0.568,1.3,us,us70005nud,2019-12-20T19:04:01.040Z,"33km NNE of Calama, Chile",earthquake,4.6,1.8,0.043,51,reviewed,us,us
2019-09-30T11:40:49.521Z,63.5493,-147.7139,6.9,2.5,ml,,,,0.42,ak,ak019cjoi6xe,2019-12-20T19:04:01.040Z,"64km ENE of Cantwell, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-09-30T11:04:47.785Z,7.4024,127.2682,35,4.3,mb,,160,1.708,1.04,us,us70005sl4,2019-12-20T19:04:38.040Z,"75km E of Baculin, Philippines",earthquake,11.5,2,0.153,12,reviewed,us,us
2019-09-30T10:42:18.343Z,68.4967,-147.5237,14.3,3.2,ml,,,,0.47,ak,ak019cjnx4ds,2019-12-20T19:04:01.040Z,"91km WNW of Arctic Village, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-09-30T10:35:16.042Z,-35.5125,-73.1206,21.7,4.4,mb,,185,1.234,1.25,us,us70005ntl,2019-12-20T19:04:00.040Z,"66km WSW of Constitucion, Chile",earthquake,4.8,6.4,0.269,4,reviewed,us,us
2019-09-30T10:32:12.945Z,46.158,152.204,55.73,4.7,mb,,168,6.561,0.77,us,us70005ntm,2019-12-20T19:04:00.040Z,"Kuril Islands",earthquake,8.3,7.7,0.037,217,reviewed,us,us
2019-09-30T10:15:07.740Z,19.2645,-67.2875,19,3.17,md,10,323,0.8163,0.27,pr,pr2019273020,2019-12-20T19:04:02.040Z,"78km NNW of Isabela, Puerto Rico",earthquake,9.39,18.8,0.17,7,reviewed,pr,pr
2019-09-30T09:55:27.781Z,50.2878,-175.0194,10,2.5,ml,,236,1.793,0.62,us,us70005xil,2019-12-20T19:04:45.040Z,"211km SSE of Adak, Alaska",earthquake,8.4,2,,,reviewed,us,ak
2019-09-30T09:38:25.540Z,19.0493,-65.235,27,2.65,md,12,323,1.1261,0.34,pr,pr2019273027,2019-12-20T19:04:05.040Z,"77km N of Culebra, Puerto Rico",earthquake,2.38,23.81,0.38,9,reviewed,pr,pr
2019-09-30T09:31:19.635Z,-8.1016,120.0824,193.46,4.7,mb,,65,2.197,0.67,us,us70005nt7,2019-12-20T19:03:59.040Z,"27km NNW of Kampungbajo, Indonesia",earthquake,8.8,7.1,0.137,16,reviewed,us,us
2019-09-30T09:21:49.902Z,-34.5466,-73.9391,10,4.2,mwr,,148,2.279,1.38,us,us70005nt0,2019-12-20T19:03:59.040Z,"164km WNW of Constitucion, Chile",earthquake,7.2,1.9,0.051,37,reviewed,us,us
