time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-30T23:44:03.490Z,17.9508,-66.9341,11,2.97,md,22,198,0.06,0.2,pr,pr2020182034,2020-07-03T14:08:02.904Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.55,0.37,0.32,17,reviewed,pr,pr
2020-06-30T23:35:38.494Z,-24.0456,-66.8444,188.23,4.2,mb,,72,1.638,0.81,us,us7000afi9,2020-07-29T03:58:23.040Z,"56 km WNW of San Antonio de los Cobres, Argentina",earthquake,7,7.1,0.128,17,reviewed,us,us
2020-06-30T23:19:51.280Z,18.026,-66.7656,13,2.51,md,11,124,0.1245,0.27,pr,pr2020182032,2020-07-03T13:02:33.645Z,"1 km NNE of Magas Arriba, Puerto Rico",earthquake,1.02,0.72,0.13,6,reviewed,pr,pr
2020-06-30T23:06:21.348Z,32.7425,-103.4615,5,2.7,mb_lg,,75,0.389,0.34,us,us7000afi1,2020-07-07T02:35:42.040Z,"22 km NW of Monument, New Mexico",earthquake,0.9,2,0.072,50,reviewed,us,us
2020-06-30T22:58:22.588Z,61.1922,-149.9822,45.1,3.6,ml,,,,0.74,ak,ak0208dd96es,2020-08-04T21:05:55.984Z,"5 km WSW of Anchorage, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-30T22:44:50.778Z,-20.8635,-178.5284,572.6,4.5,mb,,129,4.477,0.83,us,us7000ajct,2020-07-08T03:04:55.040Z,"Fiji region",earthquake,13.4,7.7,0.125,19,reviewed,us,us
2020-06-30T22:32:04.005Z,40.727,142.3992,59.66,4.2,mb,,155,1.015,0.85,us,us7000ajcs,2020-07-08T02:58:30.040Z,"80 km ENE of Hachinohe, Japan",earthquake,9.3,4.4,0.141,14,reviewed,us,us
2020-06-30T22:10:09.644Z,-19.5429,169.2234,98.54,5.1,mb,,100,2.228,0.92,us,us7000afhl,2020-07-08T00:34:29.040Z,"6 km W of Isangel, Vanuatu",earthquake,9.3,5.1,0.036,251,reviewed,us,us
2020-06-30T21:56:29.460Z,17.9095,-66.9185,12,2.66,md,15,232,0.0765,0.26,pr,pr2020182031,2020-07-03T13:01:20.132Z,"6 km S of Guánica, Puerto Rico",earthquake,1.26,0.66,0.23,10,reviewed,pr,pr
2020-06-30T21:21:47.669Z,-25.5513,-69.4512,10,4.3,mwr,,77,1.192,1.49,us,us7000afgs,2020-08-04T21:00:47.040Z,"105 km E of Taltal, Chile",earthquake,4.8,1.7,0.055,32,reviewed,us,us
2020-06-30T21:14:35.076Z,-25.5939,-69.4528,21.96,4.4,mb,,91,1.17,1.12,us,us7000afgc,2020-07-07T23:09:37.040Z,"104 km NE of Diego de Almagro, Chile",earthquake,5.5,5,0.179,9,reviewed,us,us
2020-06-30T20:36:01.512Z,-5.791,70.3672,10,4.6,mb,,54,2.624,1.15,us,us7000ajcu,2020-07-29T18:49:08.040Z,"Chagos Archipelago region",earthquake,7.9,1.1,0.071,59,reviewed,us,us
2020-06-30T20:34:47.980Z,-33.3656,-72.5544,9.85,4.3,mb,,142,0.841,0.67,us,us7000aff4,2020-07-29T18:21:48.435Z,"90 km WNW of Cartagena, Chile",earthquake,3.9,5,0.266,5,reviewed,us,us
2020-06-30T20:30:56.250Z,17.9268,-66.5788,6,2.56,ml,23,191,0.1192,0.18,pr,pr2020182007,2020-08-05T13:25:00.040Z,"7km SSE of Ponce, Puerto Rico",earthquake,0.38,0.26,0,0,reviewed,pr,pr
2020-06-30T20:11:26.940Z,38.147,-117.9729,11.3,2.6,ml,22,53.12,0.013,0.1465,nn,nn00755378,2020-07-29T17:50:05.040Z,"64km W of Tonopah, Nevada",earthquake,,0.7,0.16,7,reviewed,nn,nn
2020-06-30T19:57:03.970Z,17.9311,-66.8386,14,3.01,md,23,195,0.0599,0.19,pr,pr2020182003,2020-07-29T17:34:52.040Z,"3km SSW of Indios, Puerto Rico",earthquake,0.62,0.6,0.17,15,reviewed,pr,pr
2020-06-30T19:43:47.170Z,17.9581,-66.9468,9,2.76,md,21,188,0.0697,0.16,pr,pr2020182029,2020-08-05T13:26:18.040Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.42,0.57,0.37,14,reviewed,pr,pr
2020-06-30T19:37:47.740Z,17.9443,-66.8921,10,2.5,md,17,196,0.0334,0.32,pr,pr2020182027,2020-07-03T12:57:28.373Z,"3 km SSE of Guánica, Puerto Rico",earthquake,0.83,0.65,0.22,8,reviewed,pr,pr
2020-06-30T19:31:15.276Z,14.4551,-93.711,14.87,4,mb,,178,1.469,1.17,us,us7000aj95,2020-07-29T17:03:46.040Z,"124 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,5.2,6.4,0.126,20,reviewed,us,us
