time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-31T23:52:30.781Z,44.4646,-115.1175,12.06,6.5,mww,,31,0.885,0.66,us,us70008jr5,2020-08-19T00:02:46.744Z,"70km W of Challis, Idaho",earthquake,8.5,3.8,0.021,212,reviewed,us,us
2020-03-31T23:18:39.580Z,47.3758333333333,-117.854166666667,-0.46,2.51,ml,10,203,0.5113,0.13,uw,uw61588697,2020-04-05T19:54:19.620Z,"24km WSW of Cheney, Washington",explosion,0.73,31.61,0.0643429549389678,8,reviewed,uw,uw
2020-03-31T22:33:12.373Z,51.7567,-173.5407,36.12,3.7,mb,,190,1.596,0.68,us,us70008mtc,2020-06-13T18:44:56.040Z,"66km SE of Atka, Alaska",earthquake,11.3,10.3,0.076,43,reviewed,us,us
2020-03-31T20:33:27.671Z,-16.6251,-173.6287,77.08,4.8,mb,,69,3.235,0.89,us,us70008jl0,2020-06-13T18:44:33.040Z,"75km S of Hihifo, Tonga",earthquake,7.5,5.4,0.031,323,reviewed,us,us
2020-03-31T19:58:06.326Z,12.9963,125.8946,10,4.4,mb,,131,4.945,0.8,us,us70008mt9,2020-06-13T18:44:38.040Z,"89km NE of Anito, Philippines",earthquake,6.1,1.8,0.114,26,reviewed,us,us
2020-03-31T19:53:51.184Z,19.3159,145.4017,188.26,4.1,mb,,144,4.069,0.79,us,us70008mt3,2020-06-13T18:44:46.040Z,"66km NNW of Agrihan, Northern Mariana Islands",earthquake,13,10.6,0.135,17,reviewed,us,us
2020-03-31T19:49:52.012Z,37.8858,143.2507,26.46,4.3,mb,,127,2.952,0.83,us,us70008mt4,2020-06-13T18:44:43.040Z,"180km ESE of Ishinomaki, Japan",earthquake,7.1,5.3,0.091,42,reviewed,us,us
2020-03-31T19:47:52.419Z,24.109,124.0401,39.98,4.4,mb,,122,1.004,0.91,us,us70008mta,2020-06-13T18:44:34.040Z,"28km SSW of Ishigaki, Japan",earthquake,8.3,8,0.107,30,reviewed,us,us
2020-03-31T18:57:19.075Z,51.4682,-174.6866,32.35,2.6,ml,,247,0.885,0.26,us,us70008slf,2020-06-13T18:44:57.040Z,"87km SSW of Atka, Alaska",earthquake,5.6,16.5,0.128,8,reviewed,us,us
2020-03-31T18:40:10.094Z,-5.456,153.671,44.41,4.5,mb,,98,1.958,0.77,us,us70008mt0,2020-06-13T18:44:44.040Z,"130km SSE of Taron, Papua New Guinea",earthquake,7.4,4,0.085,40,reviewed,us,us
2020-03-31T17:35:16.676Z,69.131,-144.6993,11.2,2.9,ml,,,,0.64,ak,ak02046s8igs,2020-06-13T18:44:59.040Z,"113km SSW of Kaktovik, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-03-31T17:11:14.122Z,61.8055,-150.5281,53.9,2.5,ml,,,,0.48,ak,ak02046s3c5b,2020-06-13T18:44:59.040Z,"26km WNW of Willow, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-03-31T16:38:44.472Z,24.741,128.0121,10,4.5,mb,,82,2.099,0.44,us,us70008jbj,2020-06-13T18:44:35.040Z,"157km SSE of Itoman, Japan",earthquake,8,1.9,0.104,27,reviewed,us,us
2020-03-31T16:22:45.047Z,-22.0064,-68.5455,114.1,4.2,mb,,44,0.679,0.47,us,us70008jay,2020-06-13T18:44:56.040Z,"64km NE of Calama, Chile",earthquake,4.2,6,0.264,4,reviewed,us,us
2020-03-31T15:46:29.510Z,35.73333333,-96.73116667,8.47,2.59,ml,80,31,0,0.16,ok,ok2020gjqm,2020-06-13T18:44:42.040Z,"7km WSW of Stroud, Oklahoma",earthquake,,1.5,0.23,35,reviewed,ok,ok
2020-03-31T15:43:32.034Z,-41.5599,84.9867,10,4.6,mb,,66,6.844,0.86,us,us70008msy,2020-06-13T18:44:36.040Z,"Southeast Indian Ridge",earthquake,9.1,1.9,0.146,14,reviewed,us,us
2020-03-31T15:36:45.240Z,44.7446667,-111.136,9.33,3.06,ml,27,64,0.04333,0.14,uu,uu60371717,2020-06-18T17:08:58.590Z,"9km NNW of West Yellowstone, Montana",earthquake,0.31,0.58,0.347,6,reviewed,uu,uu
2020-03-31T15:33:24.390Z,17.9553,-66.8853,9,2.57,md,7,249,0.0207,0.14,pr,pr2020091018,2020-03-31T19:50:49.715Z,"2km S of Maria Antonia, Puerto Rico",earthquake,0.75,0.5,0.28,5,reviewed,pr,pr
